Description,Question,Equation,Input Numbers,Output,numbers
allen shiela 's brother likes to play with blocks . shiela repainted allen 's old blocks in different colors . if allen has number0 identical blocks and there are number1 blocks for every color of paint used,how many colors did shiela use ?,/ number0 number1,49 7,7.0,2
isabel received number0 dollars for her birthday . later she found some toys that cost number1 dollars each .,how many of the toys could she buy ?,/ number0 number1,14 2,7.0,2
nick saved $ number0 . if nick saved $ number1 more than lee,how much did lee save ?,- number0 number1,68.50 25.43,43.07,2
if lewis earns $ number0 every week during the number1 weeks of harvest .,how much money does he earn during harvest season ?,* number0 number1,1367.00 5,6835.0,2
amy uploaded number0 pics to facebook . if she put the pics into number1 albums with the same number of photos in each album,how many photos were in each album ?,/ number0 number1,180 9,20.0,2
the sweet shop gets a new candy shipment every number0 days . there are number1 cases of chocolate bars . there are number2 cases of lollipops .,how many cases of candy altogether ?,+ number1 number2,35 25 55,80.0,2
a company was offering a special on cell phones for $ number0 each . but only if you spent number1 dollars a month for number2 months .,how much would it end up costing you total if you bought number3 phone ?,+ * number1 number2 number0,2 7 4 1,30.0,3
victor bought several boxes of books at a yard sale and ended up with number0 books total . if each box had number1 books,how many boxes did he buy ?,/ number0 number1,24 3,8.0,2
carol had number0 pieces of tissue paper . after blowing her nose she had number1 left .,how many pieces of tissue paper did she use ?,- number0 number1,97 93,4.0,2
tommy had some balloons . his mom gave him number0 more balloons for his birthday . then tommy had number1 balloons .,how many balloons did tommy have to start with ?,- number1 number0,34 60,26.0,2
shiela was into history of asia . she can read number0 pages per hour of the book entitled `` asia 's history made easy '' . if the encyclopedia has number1 pages,how many hours did it take shiela to finish reading the book ?,/ number1 number0,11 143,13.0,2
a garden has number0 rows and number1 columns of bean plants .,how many plants are there in all ?,* number0 number1,52 15,780.0,2
mr. guzman bought number0 doughnuts packed equally into number1 boxes .,how many doughnuts were in each box ?,/ number0 number1,48 4,12.0,2
lino picked up number0 shells at the seashore in the morning and number1 shells in the afternoon .,how many shells did he pick up in all ?,+ number0 number1,292 324,616.0,2
bianca spent number0 minutes drawing at school and number1 minutes drawing at home .,how many minutes total did she spend drawing ?,+ number0 number1,22 19,41.0,2
the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 books,how many books does he have in the classics section ?,* number0 number1,6 33,198.0,2
rangers from flora natural park and wildlife reserve also joined the activities on that day . they planted number0 redwood trees and number1 cypress trees to replace the trees that were destroyed during a recent forest fire .,how many trees did the rangers plant ?,+ number1 number0,75 25,100.0,2
edward was playing basketball with his friend . together they scored number0 points . if edward scored number1 of the points .,how many points did his friend score ?,- number0 number1,13 7,6.0,2
tom bought number0 tickets at the state fair . he spent number1 tickets at the 'dunk a clown ' booth and decided to use the rest on rides . if each ride cost number2 tickets,how many rides could he go on ?,/ - number0 number1 number2,63 14 7,7.0,3
mrs. hilt saw number0 bees in the hive . the next day she saw number1 times that many .,how many bees did she see on the second day ?,* number0 number1,144 3,432.0,2
there are number0 seats in a movie theater . if the movie theater has number1 sections with the same number of seats in each section,how many seats are in each section ?,/ number0 number1,270 9,30.0,2
a worksheet had number0 problems on it . if a teacher had number1 worksheets to grade and had already graded number2 of them,how many more problems does she have to grade ?,* - number1 number2 number0,4 9 5,16.0,3
victor had $ number0 . for his allowance he got another $ number1 .,how much money does he have total ?,+ number0 number1,10 8,18.0,2
the company has large and small ink cartridges in stock .,how many ink cartridges can you buy with number0 dollars if number1 cartridge costs number2 dollars ?,/ number0 number2,182 1 14,13.0,2
there number0 colored lights on a christmas tree . number1 of them are red number2 of them are yellow and the rest are blue .,how many blue lights are there on the christmas tree ?,- - number0 number1 number2,95 26 37,32.0,3
alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game .,how many marbles did alvin have then ?,+ - number0 number2 number3,57 2 18 25,64.0,3
